0,0,-0.044576,0,0,0,0,0,0
2,1754,-0.16505,47.108,200.05,47.139,260.73,47.167,260.81
18,1970,0.099199,47.108,200.05,47.139,401.01,47.243,400.99
21,1822,-0.18521,47.108,200.05,47.139,288.79,47.086,288.85
23,1072,-0.33537,47.108,200.05,47.139,207.65,47.106,207.64
27,2039,-0.45374,47.108,200.05,47.139,471.01,47.205,471.08
28,59,-0.20434,47.108,200.05,47.139,200.08,47.101,200.09
31,2,-0.40026,47.108,200.05,47.139,200,47.096,200.02
35,2,0.040001,47.108,200.05,47.139,199.99,47.096,200.02
36,1778,0.3177,47.108,200.05,47.139,369.4,47.11,369.38
38,1619,0.19767,47.108,200.05,47.139,346.65,47.131,346.62
44,1072,0.22555,47.108,200.05,47.139,207.7,47.106,207.64
49,59,0.34932,47.108,200.05,47.139,200.09,47.101,200.09
52,872,0.41445,47.108,200.05,47.139,207.76,47.129,207.76
57,59,-0.17063,47.108,200.05,47.139,200.08,47.101,200.09
69,872,0.26878,47.108,200.05,47.139,207.81,47.129,207.76
75,1781,-0.21747,47.108,200.05,47.139,227.28,47.178,227.28
97,1072,-0.19219,47.108,200.05,47.139,207.66,47.106,207.64
98,887,-0.045635,47.108,200.05,47.139,207.92,47.146,207.91
116,1028,0.23164,47.108,200.05,47.139,208.2,47.207,208.21
120,1777,0.35258,47.108,200.05,47.139,227.15,47.135,227.12
129,59,0.074521,47.108,200.05,47.139,200.08,47.101,200.09
132,59,-0.39518,47.108,200.05,47.139,200.1,47.101,200.09
133,2,-0.029861,47.108,200.05,47.139,199.98,47.096,200.02
142,1,0.061129,47.108,200.05,47.139,200.04,47.096,200.02
149,1811,-0.54402,47.108,200.05,47.139,239.28,47.209,239.14
151,1969,-0.045868,47.108,200.05,47.139,324.89,47.052,324.92
161,2071,0.026002,47.108,200.05,47.139,-249.7,47.279,-249.68
175,1799,-0.60547,47.108,200.05,47.139,-397.58,47.123,-397.57
176,1969,0.0017932,47.108,200.05,47.139,-325,47.052,-324.92
