0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,158,1,160,2,1,2,2,2,1,1,2,2,2,2,2,155,2,2,2,155,2,2,2,2,156,1,-157,-1,-1
18,0,146,158,12,137,161,18,18,18,156,10,137,18,17,18,17,141,137,17,17,141,18,18,18,18,143,153,-14,-158,-153
21,0,144,10,14,20,160,21,21,21,11,153,20,21,20,21,20,18,20,20,20,18,21,21,21,21,17,151,-142,-10,-151
23,0,17,11,146,22,9,23,23,23,12,152,22,23,22,23,22,20,22,22,22,20,23,23,23,23,139,150,-18,-11,-150
27,0,20,154,144,26,158,27,27,27,152,150,26,27,26,27,26,23,26,26,129,23,27,27,27,27,136,148,-138,-154,-148
28,0,139,13,143,27,11,28,28,28,14,15,27,28,27,28,27,24,27,128,128,24,28,28,28,28,135,16,-137,-13,-16
31,0,137,14,20,125,12,31,31,31,150,148,125,31,125,31,125,130,125,125,125,130,31,31,31,31,25,146,-135,-14,-146
35,0,25,151,139,121,13,35,35,35,17,18,121,35,121,35,121,127,121,33,33,127,35,35,35,35,130,144,-132,-16,-144
36,0,26,16,23,120,155,36,36,36,148,146,120,36,34,36,34,126,120,34,34,126,36,36,36,36,129,20,-27,-16,-20
38,0,27,150,24,36,14,38,38,38,18,145,36,38,36,38,36,32,36,36,36,32,38,38,38,38,30,21,-130,-17,-21
44,0,129,148,27,113,153,44,44,44,145,22,113,44,113,44,113,120,113,113,113,120,44,44,44,44,34,140,-32,-19,-140
49,0,33,20,29,46,17,49,49,49,22,141,46,49,46,49,46,40,46,46,109,40,49,49,49,49,37,138,-35,-146,-138
52,0,125,21,131,106,151,52,52,52,23,140,106,52,106,52,106,42,106,106,106,42,52,52,52,52,119,137,-122,-21,-137
57,0,123,22,32,102,150,57,57,57,24,26,102,57,102,57,102,112,102,102,102,45,57,57,57,57,116,28,-39,-22,-28
69,0,40,143,35,60,149,85,69,69,26,28,60,85,60,85,60,107,60,60,95,107,85,85,69,69,112,30,-116,-24,-30
75,0,119,24,126,62,20,75,77,77,26,28,62,75,62,75,62,106,62,62,93,106,75,75,77,76,46,133,-43,-24,-133
97,0,123,145,32,52,150,97,97,97,24,139,52,97,52,97,52,112,52,52,103,112,97,97,97,97,41,136,-120,-22,-136
98,0,36,145,130,51,18,55,98,98,142,139,51,55,51,55,51,113,51,51,51,44,55,55,98,98,117,136,-38,-22,-136
116,0,133,150,138,119,14,116,116,116,18,145,119,116,119,116,119,125,119,119,119,125,116,116,116,116,128,21,-28,-150,-21
120,0,24,15,140,32,156,120,120,120,149,147,32,120,32,120,32,128,32,32,32,128,120,120,120,120,131,19,-133,-15,-19
129,0,18,155,16,131,159,129,129,129,153,151,131,129,131,129,131,21,131,131,131,21,129,129,129,129,20,149,-19,-155,-149
132,0,16,10,147,134,160,132,132,132,11,12,134,132,134,132,134,138,134,134,134,138,132,132,132,132,140,151,-142,-156,-151
133,0,144,157,148,135,8,133,133,133,155,153,135,133,135,133,135,139,135,135,135,139,133,133,133,133,141,12,-16,-10,-12
142,0,151,161,8,11,164,142,142,142,6,158,11,142,11,142,11,10,11,11,11,10,142,142,142,142,148,7,-9,-161,-7
149,0,156,2,3,150,2,149,149,149,163,162,150,149,150,149,150,4,150,150,150,4,149,149,149,149,154,161,-155,-2,-161
151,0,2,1,160,152,1,151,151,151,164,163,152,151,152,151,152,2,152,152,152,2,151,151,151,151,2,162,-2,-1,-162
161,0,-6,-4,-5,-7,-3,161,161,161,-4,169,-7,161,-7,161,-7,163,-7,-7,-7,163,161,161,161,161,164,168,6,4,-168
175,0,176,-11,-15,175,178,175,175,175,-12,177,175,175,175,175,175,-19,175,175,175,-19,175,175,175,175,-18,177,-176,11,-177
176,0,177,178,177,176,178,176,176,176,178,-13,176,176,176,176,176,-20,176,176,176,-20,176,176,176,176,-19,-14,18,-178,14
